path,width,height,format
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-bk-q_default.png,683,1024,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-bk_default.png,683,1024,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-sb-q_default.png,1707,2560,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-sb_default.png,1707,2560,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u26-nt_default.png,683,1024,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u26-ntq_default.png,683,1024,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/cascha_hh2078_default.png,500,500,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_12sdc_aqua.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_12sdc_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_12sdc_vintage-white.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59r12st_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59r12st_gold.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59rlsb-jade_jade.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59rssb-jade_jade.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59ssb_black-metalflake.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59ssb_copper.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59ssb_cream.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_aqua.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_burgundy.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_silver.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_64xt_aqua.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_66bt_transparent-blue.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_bo59-grn_green-metalflake.png,2048,2048,PNG
