SKU,Product Name,Finish,Image File,Image Folder,Image Path,Sort Order,Section,Category
ARIA-151LIL,Lil’ Aria,Black,aria_aria-151lil_black.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-151lil_black.jpg,4,Fretted Instruments,Acoustic Guitars
ARIA-131UP,Urban Player Series,Red,aria_aria-131up_red.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131up_red.jpg,1,Fretted Instruments,Acoustic Guitars
ARIA-131UP,Urban Player Series,Blue,aria_aria-131up_blue.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131up_blue.jpg,2,Fretted Instruments,Acoustic Guitars
ARIA-131UP,Urban Player Series,Green,aria_aria-131up_green.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131up_green.jpg,3,Fretted Instruments,Acoustic Guitars
ARIA-131UP,Urban Player Series,Black,aria_aria-131up_black.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131up_black.jpg,4,Fretted Instruments,Acoustic Guitars
ARIA-101UP,Urban Player Series,Red,aria_aria-101up_red.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101up_red.jpg,1,Fretted Instruments,Acoustic Guitars
ARIA-101UP,Urban Player Series,Green,aria_aria-101up_green.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101up_green.jpg,2,Fretted Instruments,Acoustic Guitars
ARIA-101UP,Urban Player Series,Blue,aria_aria-101up_blue.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101up_blue.jpg,3,Fretted Instruments,Acoustic Guitars
ARIA-101DP,Delta Player Orchestra,Muddy Brown,aria_aria-101dp_muddy-brown.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101dp_muddy-brown.jpg,1,Fretted Instruments,Acoustic Guitars
ARIA-111DP,Delta Player Dreadnought,Muddy Brown,aria_aria-111dp_muddy-brown.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-111dp_muddy-brown.jpg,1,Fretted Instruments,Acoustic Guitars
ARIA-111DP-L,Delta Player Dreadnought Lefty,Muddy Brown,aria_aria-111dp-l_muddy-brown.jpg,Acoustic Guitars,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-111dp-l_muddy-brown.jpg,1,Fretted Instruments,Acoustic Guitars
